Gene	RPF_K562_WT_1	RPF_K562_WT_2	TACO1KO_1	TACO1KO_2	PREPLKO_1	PREPLKO_2	NME6KO_1	NME6KO_2	Length	GeneID
COX5B	10.12	8.14	10.92	8.85	8.06	9.26	9.17	9.99	387	ENSG00000135940
NDUFB5	1.84	1.54	1.22	1.59	1.64	1.83	1.92	1.8	701	ENSG00000136521
NDUFA9	0.45	0.7	0.56	0.64	0.56	0.62	0.56	0.66	1419	ENSG00000139180
UQCRC2	1.92	3.89	1.89	2.16	2.1	3.39	2.19	2.99	1470	ENSG00000140740
NDUFB10	1.59	2.58	1.01	1.14	0.96	2.71	1.31	2.22	611	ENSG00000140990
SDHC	1.5	2.39	1.54	1.43	1.87	2.4	1.66	1.98	673	ENSG00000143252
NDUFS6	4.03	3.08	2.83	2.89	2.9	2.66	3.08	3.1	579	ENSG00000145494
NDUFB11	4.98	3.95	3.3	3.27	3.92	3.73	2.98	2.62	489	ENSG00000147123
NDUFB9	3.42	4.24	3.06	3.25	2.32	4.48	2.82	3.94	924	ENSG00000147684
NDUFC2	3.98	6	3.37	3.44	2.86	4.98	3.6	4.48	403	ENSG00000151366
ATP5F1A	2.87	3.74	2.45	2.66	3.09	3.46	2.98	3.02	2076	ENSG00000152234
ATP5MC3	23.41	20.35	19.29	21.08	17.16	20.15	20.05	18.3	426	ENSG00000154518
UQCRB	3.08	3.72	2.7	3.58	2.3	3.89	2.89	3.87	683	ENSG00000156467
COX6A2	0	0	0	0	0	0	0	0	291	ENSG00000156885
NDUFS2	1.12	1.44	1.14	1.2	1.3	1.65	1.24	1.11	1406	ENSG00000158864
ATP5MC1	4.52	2.98	3	3.57	3.08	3.06	3.84	3.31	409	ENSG00000159199
NDUFV3	0.83	0.95	0.64	0.65	0.69	1.05	0.89	0.95	1419	ENSG00000160194
COX6B2	0	0	0	0	0	0.02	0	0	264	ENSG00000160471
COX7A1	0	0	0	0	0.04	0	0	0	237	ENSG00000161281
NDUFS4	0.41	0.65	0.54	0.47	0.39	0.64	0.42	0.63	746	ENSG00000164258
UQCRQ	9.3	7.15	8.82	8.31	5.19	8.34	7.38	7.69	246	ENSG00000164405
COX6C	14.27	10.2	11.37	12.37	9.35	9.91	10.77	10.11	225	ENSG00000164919
NDUFB6	2.19	1.96	1.58	1.8	1.33	2.29	1.65	1.83	384	ENSG00000165264
ATP5F1C	3.38	4.28	2.92	2.98	3.2	4.3	3.5	3.75	895	ENSG00000165629
NDUFB8	1.76	2.1	1.53	1.5	1.48	2.13	1.51	1.8	607	ENSG00000166136
NDUFV1	1.77	1.66	1.36	1.49	1.86	2.06	1.57	1.5	1455	ENSG00000167792
NDUFS5	6.89	7.85	6.26	6.5	4.47	7.31	5.33	7.07	318	ENSG00000168653
UQCRFS1	1.55	2.98	1.7	1.6	2.08	2.55	1.84	2.74	822	ENSG00000169021
NDUFA3	1.16	0.69	1.02	0.69	0.74	0.61	0.71	0.65	558	ENSG00000170906
ATPAF2	0.1	0.08	0.04	0.05	0.11	0.08	0.07	0.08	867	ENSG00000171953
UQCRH	9.88	3.67	11.71	10.21	5.88	4.52	6.73	5.07	437	ENSG00000173660
NDUFA11	1.53	1.63	1.35	1.32	1.17	1.69	1.19	1.53	841	ENSG00000174886
COX8A	22.74	9.6	17.41	14.88	12.99	11.88	15.95	11.16	207	ENSG00000176340
NDUFV2	2.21	3.97	1.48	2.07	1.33	3.69	2.22	3.7	882	ENSG00000178127
COX5A	5.42	5.75	3.78	4.21	3.71	5.42	3.93	5.05	570	ENSG00000178741
CYC1	2.25	2.41	2.31	2.06	3.18	2.76	1.77	1.94	975	ENSG00000179091
NDUFB1	0.97	0.84	0.98	1.12	1.11	0.65	1.22	0.73	315	ENSG00000183648
UQCR10	3.51	3.83	3.85	3.83	3.84	3.64	4.09	4.89	225	ENSG00000184076
NDUFA12	1.92	1.89	1.29	1.65	1.34	2.27	1.4	1.97	550	ENSG00000184752
NDUFA6	1.79	2.61	1.76	1.98	1.34	2.16	1.78	2.41	462	ENSG00000184983
NDUFA4L2	0	0.01	0	0.01	0.03	0.01	0	0.02	333	ENSG00000185633
NDUFA13	4.44	3.22	2.92	2.4	2.77	3.01	3.01	2.88	770	ENSG00000186010
COX8C	0	0	0	0	0	0	0	0	216	ENSG00000187581
NDUFA4	7.06	5.66	8.83	9.06	6.84	10.29	6.91	7.95	243	ENSG00000189043
SDHD	2.74	3.57	2.41	2.76	2.2	3.44	2.66	3.25	658	ENSG00000204370
NDUFS3	1.14	1.78	1.2	1.16	1.13	1.86	0.98	1.35	1109	ENSG00000213619
ATP5PO	5.95	9.29	5.63	5.99	4.99	8.84	5.92	8.8	728	ENSG00000241837
NDUFA7	2.02	1.46	1.31	1.44	1.79	1.91	1.44	1.7	433	ENSG00000267855
