GeneName	WT1_2	WT2_2	KO1_2	KO2_2	KOplWT1_2	KOplWT2_2	Length	GeneID
ATP5MC3	1143.53	1175.06	1090.77	1075.68	1295.31	1295.55	426	ENSG00000154518
UQCRB	332.03	301.09	289.02	325.14	219.45	285.27	683	ENSG00000156467
COX6A2	0	0	0	0	0	0.56	291	ENSG00000156885
NDUFS2	162.43	161.7	164.95	163.71	186.9	181.74	1406	ENSG00000158864
ATP5MC1	501.61	502.17	413.73	415.16	512.01	545.05	409	ENSG00000159199
NDUFV3	55.98	56.69	55.28	52.3	66.16	80.54	1419	ENSG00000160194
COX6B2	0	0.58	0.89	0.7	0.67	1.83	264	ENSG00000160471
COX7A1	0	0	0	0	0.37	0	237	ENSG00000161281
NDUFS4	44.73	41.42	82.96	80.94	96.09	109.49	746	ENSG00000164258
UQCRQ	742.27	722.79	1189.09	1169.9	1797.77	2126.71	246	ENSG00000164405
COX6C	575.85	542.8	765.12	882.91	987.09	1131.39	225	ENSG00000164919
NDUFB6	325.89	328.69	406.72	440.03	450.4	479.22	384	ENSG00000165264
ATP5F1C	351.46	353.1	338.12	330.62	338.28	330.42	895	ENSG00000165629
NDUFB8	315.64	311.94	400.46	396.37	487.32	510.86	607	ENSG00000166136
NDUFV1	135.62	132.91	158.19	152.12	210.81	203.36	1455	ENSG00000167792
NDUFS5	629.64	585.48	744.82	802.4	693.98	714.22	318	ENSG00000168653
UQCRFS1	281.62	278.08	219.86	207.47	315.18	310.28	822	ENSG00000169021
NDUFA3	133.78	130.63	180.35	176.27	249.98	288.71	558	ENSG00000170906
ATPAF2	10.38	12.73	16.93	18.93	21.63	22.72	867	ENSG00000171953
UQCRH	383.65	381.98	560.81	607.94	645.66	776.08	437	ENSG00000173660
NDUFA11	234.37	232.26	272	263.07	315.92	316.13	841	ENSG00000174886
COX8A	737.37	762.24	1329.16	1189.92	1516.21	1795.14	207	ENSG00000176340
NDUFV2	110.13	108.24	98.79	108.07	122.81	126.28	882	ENSG00000178127
COX5A	373.93	362.12	429.75	423.56	539.04	522.5	570	ENSG00000178741
CYC1	354.4	351.63	343.98	332.9	448.98	400.49	975	ENSG00000179091
NDUFB1	197.6	197.67	230.38	214.22	254.4	277.24	315	ENSG00000183648
UQCR10	863.78	847.46	956.65	980.83	1385.52	1563.28	225	ENSG00000184076
NDUFA12	148.79	134.01	196.85	191.24	244.01	292.61	550	ENSG00000184752
NDUFA6	240.09	222.45	240.19	250.01	375.51	370.71	462	ENSG00000184983
NDUFA4L2	0	0.15	1.06	1.11	0.26	1.45	333	ENSG00000185633
NDUFA13	273.04	269.13	376.84	367.18	417.33	439.4	770	ENSG00000186010
COX8C	0	0.24	0	0	0	0	216	ENSG00000187581
NDUFA4	520.06	502.59	737.92	792.47	687.47	763.93	243	ENSG00000189043
SDHD	176.84	171.09	176.68	172.88	215.87	247.28	658	ENSG00000204370
NDUFS3	148.89	147.53	121.35	112.71	126.97	128.67	1109	ENSG00000213619
ATP5PO	427.8	414.39	400.52	417.48	467.41	502.45	728	ENSG00000241837
NDUFA7	219.98	219.89	303.74	267.61	423.03	437.67	433	ENSG00000267855
